experiment,checkpoint,pred_conf,nms_iou,match_iou_threshold,total_predictions,total_gt,total_matches,correct_matches,wrong_class_matches,unmatched_predictions,unmatched_gt,mean_iou_matched,matched_accuracy,matched_f1_macro,matched_f1_micro,class_aware_precision,class_aware_recall,class_aware_f1,localization_precision,localization_recall,localization_f1,tp,fp,fn
enhanced/epoch13,epoch13,0.25,0.7,0.5,783,760,584,529,55,199,176,0.7651114040245749,0.9058219178082192,0.8353151324814447,0.9058219178082192,0.6756066411238825,0.6960526315789474,0.6856772521062864,0.7458492975734355,0.7684210526315789,0.7569669475048607,529,254,231
enhanced/epoch14,epoch14,0.25,0.7,0.5,741,760,561,498,63,180,199,0.7771759713184813,0.8877005347593583,0.7951745593039633,0.8877005347593583,0.6720647773279352,0.6552631578947369,0.6635576282478348,0.757085020242915,0.7381578947368421,0.7475016655562959,498,243,262
enhanced/epoch15,epoch15,0.25,0.7,0.5,691,760,548,503,45,143,212,0.7775930500161039,0.9178832116788321,0.8312166568583472,0.9178832116788321,0.7279305354558611,0.6618421052631579,0.693314955203308,0.7930535455861071,0.7210526315789474,0.7553411440385941,503,188,257
enhanced/epoch16,epoch16,0.25,0.7,0.5,787,760,573,504,69,214,187,0.7755694896970952,0.8795811518324608,0.824157356474035,0.8795811518324608,0.6404066073697586,0.6631578947368421,0.6515837104072398,0.7280813214739518,0.7539473684210526,0.7407886231415642,504,283,256
enhanced/epoch17,epoch17,0.25,0.7,0.5,766,760,565,504,61,201,195,0.7731487177114571,0.8920353982300885,0.807131609039689,0.8920353982300885,0.6579634464751958,0.6631578947368421,0.6605504587155963,0.737597911227154,0.743421052631579,0.7404980340760158,504,262,256
enhanced/epoch18,epoch18,0.25,0.7,0.5,767,760,560,513,47,207,200,0.7718204802700451,0.9160714285714285,0.8424037969316835,0.9160714285714285,0.6688396349413298,0.675,0.6719056974459726,0.7301173402868318,0.7368421052631579,0.7334643091028159,513,254,247
enhanced/epoch19,epoch19,0.25,0.7,0.5,781,760,578,510,68,203,182,0.7788347805041342,0.8823529411764706,0.8266958054863126,0.8823529411764706,0.6530089628681178,0.6710526315789473,0.661907852044127,0.7400768245838668,0.7605263157894737,0.7501622323166774,510,271,250
enhanced/epoch20,epoch20,0.25,0.7,0.5,781,760,567,512,55,214,193,0.7799894725624636,0.9029982363315696,0.8153139614180535,0.9029982363315696,0.6555697823303457,0.6736842105263158,0.6645035691109669,0.7259923175416133,0.7460526315789474,0.7358857884490592,512,269,248
enhanced/epoch21,epoch21,0.25,0.7,0.5,642,760,533,481,52,109,227,0.7809921963800857,0.9024390243902439,0.8430452493611524,0.9024390243902439,0.7492211838006231,0.6328947368421053,0.6861626248216832,0.8302180685358256,0.7013157894736842,0.7603423680456491,481,161,279
enhanced/epoch22,epoch22,0.25,0.7,0.5,794,760,583,536,47,211,177,0.7806393638074296,0.9193825042881647,0.8563033342723453,0.9193825042881647,0.6750629722921915,0.7052631578947368,0.6898326898326899,0.7342569269521411,0.7671052631578947,0.7503217503217503,536,258,224
enhanced/epoch23,epoch23,0.25,0.7,0.5,746,760,555,507,48,191,205,0.7803682256389308,0.9135135135135135,0.8546028897346337,0.9135135135135135,0.6796246648793566,0.6671052631578948,0.6733067729083666,0.7439678284182306,0.7302631578947368,0.7370517928286853,507,239,253
enhanced/epoch24,epoch24,0.25,0.7,0.5,739,760,567,510,57,172,193,0.780032480099424,0.8994708994708994,0.8273314256007878,0.8994708994708994,0.6901217861975643,0.6710526315789473,0.6804536357571714,0.7672530446549392,0.7460526315789474,0.7565043362241495,510,229,250
