image,n_gt,d_matched,d_iou,d_f1,y_matched,y_iou,y_f1
220128_B562_4.jpg,19,17,0.6679432988166809,0.5555555555555555,18,0.7596344947814941,0.8421052631578947
220128_B567_3.jpg,13,10,0.6875267028808594,0.588235294117647,11,0.7828221917152405,0.8461538461538461
220128_B567_4.jpg,21,9,0.6481100916862488,0.3333333333333333,13,0.7105281352996826,0.6842105263157895
220128_B568_4.jpg,18,10,0.628929078578949,0.3404255319148936,13,0.7147188782691956,0.43243243243243246
220128_B571_1.jpg,21,15,0.6792235970497131,0.5106382978723405,20,0.8223347663879395,0.6666666666666666
220129_B612_2.jpg,22,14,0.6881076097488403,0.3448275862068966,10,0.7544276714324951,0.3636363636363636
220129_B612_3.jpg,17,12,0.620448648929596,0.4761904761904762,13,0.7666000127792358,0.7333333333333334
220129_B616_4.jpg,19,15,0.7480372190475464,0.5365853658536586,15,0.8623188138008118,0.5365853658536586
220207_A035_4.jpg,15,7,0.6490368247032166,0.26315789473684204,5,0.8342313766479492,0.4
220207_A036_1.jpg,13,10,0.6861699819564819,0.4375,11,0.8869913220405579,0.7407407407407408
220207_A037_3.jpg,10,7,0.62079918384552,0.48,8,0.8086053133010864,0.64
220207_A040_3.jpg,18,16,0.6843302249908447,0.8205128205128205,17,0.844333291053772,0.8205128205128205
220207_A049_3.jpg,8,7,0.6293249130249023,0.5555555555555556,7,0.7748256921768188,0.75
220303_A189_1.jpg,10,8,0.7373369336128235,0.5833333333333334,8,0.759687602519989,0.6956521739130435
220303_A189_4.jpg,13,10,0.7011271715164185,0.5806451612903226,10,0.8997346758842468,0.6428571428571429
220303_A201_4.jpg,16,12,0.7150891423225403,0.7741935483870969,15,0.9190185070037842,0.9375
220312_A505_4.jpg,11,9,0.7149493098258972,0.4666666666666667,11,0.8761112689971924,0.8333333333333333
220312_A512_3.jpg,15,14,0.691011369228363,0.6666666666666666,14,0.8723406195640564,0.7096774193548386
220312_A513_2.jpg,13,13,0.7097091674804688,0.962962962962963,13,0.8537352681159973,1.0
220312_A517_3.jpg,23,19,0.7080221176147461,0.7499999999999999,21,0.8169169425964355,0.8260869565217391
220312_A525_2.jpg,10,5,0.5917954444885254,0.27586206896551724,6,0.721294105052948,0.625
220316_A600_2.jpg,16,13,0.6708230972290039,0.5555555555555556,13,0.8964990377426147,0.7272727272727272
220316_A601_1.jpg,12,12,0.6251419186592102,0.6874999999999999,11,0.8513408303260803,0.9166666666666666
220316_A601_3.jpg,20,14,0.6432376503944397,0.5306122448979592,13,0.8152157664299011,0.6842105263157895
220316_A604_3.jpg,15,11,0.6777403354644775,0.35897435897435903,11,0.8607982993125916,0.6666666666666666
220316_A605_2.jpg,12,12,0.7142395973205566,0.5263157894736842,12,0.8581290245056152,0.6666666666666667
220316_A605_3.jpg,21,13,0.68587726354599,0.48000000000000004,14,0.8058004379272461,0.6153846153846153
220316_A605_4.jpg,15,8,0.6282614469528198,0.34285714285714286,12,0.778815507888794,0.7857142857142856
220316_A606_2.jpg,15,12,0.6682563424110413,0.6857142857142857,13,0.8327772617340088,0.7741935483870969
220316_A606_3.jpg,16,15,0.6686972379684448,0.8571428571428572,15,0.8072892427444458,0.967741935483871
220316_A606_4.jpg,24,19,0.6529453992843628,0.7450980392156864,20,0.8182743787765503,0.8085106382978724
220317_A697_2.jpg,16,12,0.6834562420845032,0.6666666666666665,12,0.7868931293487549,0.7333333333333334
220317_A709_3.jpg,5,4,0.6875246167182922,0.7272727272727272,5,0.9104698300361633,0.9090909090909091
220317_A711_3.jpg,8,5,0.6556825041770935,0.5263157894736842,7,0.7941997647285461,0.7999999999999999
220317_A717_1.jpg,10,9,0.6834018230438232,0.6428571428571429,10,0.7823177576065063,0.9090909090909091
220317_A722_1.jpg,10,8,0.6670010089874268,0.5384615384615384,7,0.8684583902359009,0.48
220317_A722_3.jpg,10,10,0.702568531036377,0.7142857142857143,10,0.8813125491142273,0.64
220323_A843_4.jpg,10,9,0.6662090420722961,0.8181818181818182,10,0.8430010080337524,0.9523809523809523
220324_A914_2.jpg,8,7,0.6959738731384277,0.7000000000000001,8,0.8039605617523193,0.888888888888889
